epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,468.596,1.1132,0.55178,0.84481,0.95424,0.9558,0.97442,0.61589,1.19004,0.60902,0.80802,0.000462281,0.000462281,0.000462281
43,477.755,1.1041,0.55141,0.85018,0.95508,0.96606,0.97495,0.62258,1.18047,0.59143,0.8097,0.000438703,0.000438703,0.000438703
44,490.05,1.11158,0.55713,0.85026,0.95601,0.95473,0.973,0.60716,1.20004,0.61062,0.81051,0.000415124,0.000415124,0.000415124
45,500.021,1.10122,0.54363,0.84461,0.95754,0.95517,0.97292,0.6337,1.15984,0.58578,0.80782,0.000391546,0.000391546,0.000391546
46,509.543,1.08792,0.53667,0.84674,0.95376,0.96324,0.97673,0.63347,1.14928,0.56809,0.80677,0.000367967,0.000367967,0.000367967
47,525.013,1.08236,0.53819,0.84546,0.96452,0.95231,0.97604,0.63614,1.16808,0.57902,0.80653,0.000344389,0.000344389,0.000344389
48,531.835,1.09124,0.53243,0.84506,0.96542,0.96099,0.97905,0.62151,1.16573,0.59714,0.80501,0.00032081,0.00032081,0.00032081
49,541.036,1.08102,0.52476,0.84412,0.944,0.96118,0.97504,0.62557,1.18548,0.58396,0.80641,0.000297232,0.000297232,0.000297232
50,557.182,1.07907,0.52232,0.8451,0.95368,0.95265,0.9733,0.63152,1.17762,0.59239,0.8082,0.000273654,0.000273654,0.000273654
51,563.527,1.04325,0.51115,0.845,0.94591,0.96729,0.97635,0.63722,1.18025,0.58245,0.80821,0.000250075,0.000250075,0.000250075
52,576.339,1.01745,0.48607,0.8379,0.95797,0.96012,0.97377,0.63497,1.15238,0.57265,0.80356,0.000226497,0.000226497,0.000226497
53,591.714,1.04123,0.49031,0.84273,0.95606,0.96732,0.97692,0.63702,1.1767,0.56442,0.80479,0.000202918,0.000202918,0.000202918
54,598.428,1.01341,0.48667,0.844,0.9553,0.96362,0.97542,0.6262,1.17117,0.57013,0.80512,0.00017934,0.00017934,0.00017934
55,607.631,1.02735,0.49742,0.83592,0.95097,0.96893,0.97511,0.63735,1.15823,0.5534,0.80328,0.000155761,0.000155761,0.000155761
56,623.843,1.0132,0.4889,0.83998,0.95605,0.96438,0.97484,0.63661,1.17437,0.56674,0.80542,0.000132183,0.000132183,0.000132183
57,629.842,1.02293,0.48545,0.83712,0.95665,0.96534,0.97507,0.64438,1.14552,0.55924,0.80358,0.000108604,0.000108604,0.000108604
58,642.505,1.0091,0.48301,0.83756,0.95705,0.96956,0.9755,0.64678,1.14294,0.55228,0.80298,8.50255e-05,8.50255e-05,8.50255e-05
59,656.777,0.98351,0.4748,0.83084,0.95518,0.96779,0.97546,0.64458,1.151,0.55721,0.80312,6.1447e-05,6.1447e-05,6.1447e-05
60,664.728,0.99461,0.47705,0.8401,0.95637,0.97004,0.97623,0.64868,1.1424,0.55123,0.80257,3.78685e-05,3.78685e-05,3.78685e-05
